company_name,url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,company_url
XO1,https://www.xo1.com,"XO1 operates in the imaging or optical technology space, focused on advanced sensor or imaging solutions for specialized applications in Cambridge's tech ecosystem.","[""photonics"", ""hardware""]",unknown,"imaging, optical systems, sensors",11-50,no_info,,
BlueGnome,https://www.bluegnome.com,BlueGnome developed genetic analysis and diagnostics solutions before being acquired by Illumina in 2007. The company was a pioneer in array-based genomic diagnostics for cytogenomics applications.,"[""genomics"", ""diagnostics""]",established,"genomic analysis, microarrays, cytogenomics",51-200,no_info,2005.0,
Cambridge CMOS Sensors,https://www.cmossensors.com,"Cambridge CMOS Sensors develops advanced CMOS imaging and sensor technology for diverse applications including automotive, industrial, and scientific imaging. The company specializes in next-generation image sensors.","[""semiconductors"", ""hardware""]",startup,"CMOS sensors, imaging technology, semiconductor design",51-200,possibly_hiring,,
Centessa,https://www.centessa.com,Centessa is a biopharmaceutical company developing innovative therapeutics for serious diseases. The company focuses on translating scientific discoveries into clinical treatments across multiple therapeutic areas.,"[""biotech"", ""pharma"", ""drug discovery""]",scaleup,"therapeutics, drug development, clinical research",200-1000,actively_hiring,2021.0,
Gyroscope,https://www.gyroscopetx.com,Gyroscope Therapeutics develops innovative treatments focusing on delivering next-generation therapeutics. The company works on advancing treatment modalities for serious medical conditions.,"[""biotech"", ""pharma"", ""healthtech""]",scaleup,"therapeutics, clinical development, molecular medicine",51-200,possibly_hiring,,
Solexa,https://www.solexa.com,Solexa was a groundbreaking sequencing technology company acquired by Illumina in 2007. It pioneered the development of next-generation sequencing platforms that revolutionized genomic research.,"[""genomics"", ""biotech""]",established,"DNA sequencing, NGS technology, genomic analysis",200-1000,no_info,1998.0,
Quethera,https://www.quethera.com,Quethera is a biopharmaceutical company developing targeted therapies and innovative treatment approaches. The company focuses on advancing precision medicine solutions.,"[""biotech"", ""pharma""]",startup,"drug discovery, therapeutic development, precision medicine",11-50,possibly_hiring,,
VocalIQ,https://www.vocaliq.com,VocalIQ was an AI and natural language processing company focused on conversational AI and voice technology. It was acquired by Apple in 2015 for its advanced NLP capabilities.,"[""AI/ML"", ""NLP""]",established,"NLP, conversational AI, voice recognition",11-50,no_info,2010.0,
8power,https://www.8power.com,"8power develops energy technology solutions, likely focusing on power management, energy efficiency, or renewable energy applications for modern technology systems.","[""cleantech"", ""hardware""]",startup,"energy technology, power systems, efficiency",11-50,no_info,,
Accelerated Materials,https://www.acceleratedmaterials.com,Accelerated Materials uses computational and AI-driven approaches to accelerate the discovery and development of advanced materials. The company applies machine learning to materials science.,"[""AI/ML"", ""deep learning""]",startup,"materials discovery, machine learning, computational chemistry",11-50,actively_hiring,,
