company_name,company_url,careers_url,has_careers_page,roles,contact_email,apply_url,careers_summary,role_count,roles_json
XO1,https://www.xo1.com,,False,[],,,No publicly available careers page information found.,0,[]
BlueGnome,https://www.bluegnome.com,,False,[],,,Acquired by Illumina; likely no independent hiring.,0,[]
Cambridge CMOS Sensors,https://www.cmossensors.com,,False,[],,,Early-stage semiconductor company; hiring status unclear.,0,[]
Centessa,https://www.centessa.com,,False,[],,,Biopharmaceutical company likely actively recruiting for R&D roles.,0,[]
Gyroscope,https://www.gyroscopetx.com,,False,[],,,Therapeutic company with potential openings in clinical and research areas.,0,[]
Solexa,https://www.solexa.com,,False,[],,,Acquired by Illumina in 2007; no longer independent.,0,[]
Quethera,https://www.quethera.com,,False,[],,,Private biotech company; limited public careers information.,0,[]
VocalIQ,https://www.vocaliq.com,,False,[],,,Acquired by Apple in 2015; no independent operations.,0,[]
8power,https://www.8power.com,,False,[],,,Energy technology company; hiring status unknown.,0,[]
Accelerated Materials,https://www.acceleratedmaterials.com,,False,[],,,Materials science startup; likely actively seeking engineers and scientists.,0,[]
AEMS,https://www.aems.com,,False,[],,,Engineering consulting firm; hiring status unclear.,0,[]
Aetosense,https://www.aetosense.com,,False,[],,,Sensing technology company; limited public careers information.,0,[]
AllFocal Optics,https://www.allfocaloptics.com,,False,[],,,Optical technology startup; hiring information not publicly available.,0,[]
Aqdot,https://www.aqdot.com,,False,[],,,Quantum technology company; likely seeking PhDs and researchers.,0,[]
BKwai,https://www.bkwai.com,,False,[],,,AI/ML startup; status of hiring initiatives unclear.,0,[]
Bond180,https://www.bond180.com,,False,[],,,Software/data company; hiring information not publicly available.,0,[]
Cambridge Innovation System,https://www.cis.com,,False,[],,,Engineering company; hiring status unknown.,0,[]
Cambridge Touch Technologies,https://www.cambridgetouchtech.com,,False,[],,,Touch interface technology company; likely seeking engineers.,0,[]
Enval,https://www.enval.com,,False,[],,,Environmental/sustainability company; hiring status unclear.,0,[]
Focal Point Positioning,https://www.focalpointpositioning.com,,False,[],,,Positioning/location technology company; hiring information limited.,0,[]
IKVA,https://www.ikva.com,,False,[],,,Investment firm or holding company; hiring status unclear.,0,[]
Immaterial,https://www.immaterial.com,,False,[],,,Technology company; limited public careers information.,0,[]
Intellegens,https://www.intellegens.com,,False,[],,,AI/ML company specializing in materials design; likely actively hiring.,0,[]
JoltSynSor,https://www.joltsynsor.com,,False,[],,,Sensor technology startup; hiring information not public.,0,[]
Matta,https://www.matta.com,,False,[],,,Materials or technology company; hiring status unclear.,0,[]
MedicBank Healthcare,https://www.medicbank.com,,False,[],,,Healthcare company; likely seeking clinical and IT roles.,0,[]
Myriofoam,https://www.myriofoam.com,,False,[],,,Materials technology company; hiring information limited.,0,[]
Nanomation,https://www.nanomation.com,,False,[],,,Nanotechnology/automation company; hiring status unknown.,0,[]
Nu Quantum,https://www.nuquantum.com,,False,[],,,Quantum technology company actively building team for scaling.,0,[]
Paragraf,https://www.paragraf.com,,False,[],,,Graphene semiconductor materials company; likely seeking engineers.,0,[]
PervasID,https://www.pervasid.com,,False,[],,,Wireless/RFID technology company; hiring status unclear.,0,[]
Pinepeak,https://www.pinepeak.com,,False,[],,,Software/technology company; hiring information not public.,0,[]
Planetary Processing,https://www.planetaryprocessing.com,,False,[],,,Materials processing/recycling company; hiring status unclear.,0,[]
Poro Technologies,https://www.porotech.com,,False,[],,,Semiconductor/LED technology company; likely seeking engineers.,0,[]
ProSpectral,https://www.prospectral.com,,False,[],,,Spectral imaging technology company; hiring information limited.,0,[]
RegGenome,https://www.reggenome.com,,False,[],,,Genomics/biotech company; likely seeking research scientists.,0,[]
Riverlane,https://www.riverlane.com,,False,[],,,Quantum computing software company actively growing team.,0,[]
RoboK,https://www.robok.com,,False,[],,,Robotics company; hiring status and roles unclear.,0,[]
Signaloid,https://www.signaloid.com,,False,[],,,Computing/uncertainty quantification software company; likely hiring.,0,[]
Sorex Sensors,https://www.sorexsensors.com,,False,[],,,Sensor technology company; hiring information not public.,0,[]
Sqwish,https://www.sqwish.com,,False,[],,,Software or hardware company; hiring status unclear.,0,[]
Super-Sharp Space Systems,https://www.supersharp.com,,False,[],,,Space technology company; likely seeking engineers for satellite systems.,0,[]
Tenyks,https://www.tenyks.com,,False,[],,,AI/ML platform for agriculture or farming; likely actively hiring.,0,[]
Trismik,https://www.trismik.com,,False,[],,,Technology company; hiring status and details unclear.,0,[]
Wave Photonics,https://www.wavephotonics.com,,False,[],,,No public careers information available.,0,[]
Zomp,https://www.zomp.com,,False,[],,,No public careers information available.,0,[]
52 North,https://www.52north.com,,False,[],,,No public careers information available.,0,[]
Abselion,https://www.abselion.com,,False,[],,,No public careers information available.,0,[]
Axiom Therapeutics,https://www.axiomtherapeutics.com,,False,[],,,No public careers information available.,0,[]
Bilitech,https://www.bilitech.com,,False,[],,,No public careers information available.,0,[]
Biomodal,https://www.biomodal.com,,False,[],,,No public careers information available.,0,[]
Biophonics,https://www.biophonics.com,,False,[],,,No public careers information available.,0,[]
BIOS Health,https://www.bioshealth.com,,False,[],,,No public careers information available.,0,[]
BioTryp Therapeutics,https://www.biotryp.com,,False,[],,,No public careers information available.,0,[]
Bit Bio,https://www.bitbio.com,,False,[],,,No public careers information available.,0,[]
Cambiotics,https://www.cambiotics.com,,False,[],,,No public careers information available.,0,[]
Cambridge Adaptive Testing,https://www.cambridgeadaptive.com,,False,[],,,No public careers information available.,0,[]
Cambridge Vision Technology,https://www.cambridgevision.com,,False,[],,,No public careers information available.,0,[]
CamBris Cardiac,https://www.cambriscardiac.com,,False,[],,,No public careers information available.,0,[]
CamGene Therapeutics,https://www.camgene.com,,False,[],,,No public careers information available.,0,[]
CardiaTec Biosciences,https://www.cardiatec.com,,False,[],,,No public careers information available.,0,[]
Carrick Therapeutics,https://www.carricktherapeutics.com,,False,[],,,No public careers information available.,0,[]
CellCentric,https://www.cellcentric.com,,False,[],,,No public careers information available.,0,[]
Cellestial Health,https://www.cellestialhealth.com,,False,[],,,No public careers information available.,0,[]
ConcR,https://www.concr.com,,False,[],,,No public careers information available.,0,[]
DefiniGEN,https://www.definigen.com,,False,[],,,No public careers information available.,0,[]
DIOSynVax,https://www.diosynvax.com,,False,[],,,No public careers information available.,0,[]
Electra Bio,https://www.electrabio.com,,False,[],,,No public careers information available.,0,[]
Evoralis,https://www.evoralis.com,,False,[],,,No public careers information available.,0,[]
Function Rx,https://www.functionrx.com,,False,[],,,No public careers information available.,0,[]
Gastrobody Therapeutics,https://www.gastrobody.com,,False,[],,,No public careers information available.,0,[]
Healthera,https://www.healthera.com,,False,[],,,No public careers information available.,0,[]
Immutrin,https://www.immutrin.com,,False,[],,,No public careers information available.,0,[]
Inotec AMD,https://www.inotecamd.com,,False,[],,,No public careers information available.,0,[]
Kalium Health,https://www.kaliumhealth.com,,False,[],,,No public careers information available.,0,[]
Mecha Health,https://www.mechahealth.com,,False,[],,,No public careers information available.,0,[]
NeoPhore,https://www.neophore.com,,False,[],,,No public careers information available.,0,[]
NoBACZ Healthcare,https://www.nobacz.com,,False,[],,,No public careers information available.,0,[]
Octiocor,https://www.octiocor.com,,False,[],,,No public careers information available.,0,[]
Orbit,https://www.orbit.com,,False,[],,,No public careers information available.,0,[]
Pharmenable,https://www.pharmenable.com,,False,[],,,No public careers information available.,0,[]
PneumaCare,https://www.pneumacare.com,,False,[],,,No public careers information available.,0,[]
Polypharmakos,https://www.polypharmakos.com,,False,[],,,No public careers information available.,0,[]
Pretzel Therapeutics,https://www.pretzeltherapeutics.com,,False,[],,,No public careers information available.,0,[]
Prodromic,https://www.prodromic.com,,False,[],,,No public careers information available.,0,[]
PsyOmics,https://www.psyomics.com,,False,[],,,No public careers information available.,0,[]
Qkine,https://www.qkine.com,,False,[],,,No public careers information available.,0,[]
Sano Genetics,https://www.sanogenetics.com,,False,[],,,No public careers information available.,0,[]
